longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,VV,VH,VV_minus_VH,agbd
-60.17915148786138,-3.975157421639398,322.5,477,318.5,2767,1608.5,676,0.7935504913330078,-7.916148892111419,-14.76184281654356,6.84569392443214,64.211609
-60.81426039373388,-3.787184948437388,286,454,250,2849,1332,524,0.8386576175689697,-8.123487366844826,-14.913904961648381,6.7904175948035554,98.555298
-60.62404213232158,-3.534084617136713,260,399,231,2539,1390,560,0.8332129716873169,-8.896974106153253,-15.131335596963995,6.234361490810741,7.285747051239014
-59.89505927925858,-3.4251638889372207,384,653,370,3246,2054,941,0.7953540086746216,-7.009123851331123,-15.399020711391454,8.389896860060333,0.21909099817276
-59.6013101813515,-3.80245630826742,397.5,563.5,407,2851.5,1895,888,0.7501918077468872,-8.892980542179737,-13.358470958303062,4.465490416123325,196.600464
-60.00936989916279,-3.999187355489595,400,550,343,3010,1696,725,0.7954071164131165,-8.10310034620387,-14.384801977069055,6.281701630865184,272.359497
-59.71135380365614,-3.002281968937956,318,513.5,311.5,2959.5,1572,662,0.8095383644104004,-8.726777741425533,-15.657255596295546,6.930477854870013,191.477875
-59.38324414613149,-3.4840035400470493,507,667,468,3031,1922,873,0.7324950098991394,-9.166814357655946,-15.76500656996964,6.598192212313693,198.011566
-60.3363566625823,-3.623691566727635,294.5,469,273.5,2913.5,1557,640,0.8283652067184448,-9.023840811480602,-14.476602311028895,5.452761499548293,203.243271
-59.853961355010114,-3.133660579240436,387,584,333,3426,1899,836,0.8228251934051514,-5.842542111215908,-14.506784052681054,8.664241941465146,36.76516342163086
-60.905888552714075,-2.8738228833088644,287,489,277,3082,1524,608,0.8350699543952942,-6.407317398285334,-13.645358295601657,7.238040897316322,25.915706634521484
-60.48637531503026,-2.512250981450757,275,416,250,2781,1323,538,0.8350379467010498,-6.728901478620928,-12.552261716916757,5.8233602382958285,149.075989
-60.02149715549841,-3.4934358505303043,472,709.5,623,2848.5,2507,1368.5,0.6410773396492004,-9.792551327044237,-13.504175734576416,3.711624407532179,58.055981
